"","file.names.full","Intercept","umol.L.sec","Temp.C","genotype","coral_num","wound","temp","date","chamber_vol","surf.area.cm2","umol.sec","blank_id","blank.umol.sec","umol.sec.corr","umol.cm2.hr","Rate.ln"
"1","20230701_F_A_103_O2",88.562132618759,-0.0021456735440323,27.8921147540984,"66",103,0,"A",20230701,0.646675408677049,19.7046255265744,-0.00138755431597462,"20230701_F_A_blank2_O2",9.57459248167195e-05,-0.00148330024079134,0.270996313005149,-0.991563154415596
"2","20230701_F_A_104_O2",90.752169270631,-0.00297356807876669,27.6583548387097,"66",104,2,"A",20230701,0.645709091475914,34.5805950035612,-0.00192005994258222,"20230701_F_A_blank_O2",8.78992461519998e-05,-0.00200795918873422,0.209037845609619,-1.17429153188314
"3","20230701_F_A_106_O2",91.5141535200155,-0.00208975943583898,27.6532096774194,"66",106,1,"A",20230701,0.646439581264867,21.0663197903596,-0.00135090321464805,"20230701_F_A_blank_O2",8.78992461519998e-05,-0.00143880246080005,0.245875355089337,-1.06167681423492
"4","20230701_F_A_15_O2",93.4784702178117,-0.00143320781941476,27.5980322580645,"68",15,0,"A",20230701,0.647119349858739,16.6948489197158,-0.000927456512312141,"20230701_F_A_blank_O2",8.78992461519998e-05,-0.00101535575846414,0.218946619286515,-1.14273152785963
"5","20230701_F_A_19_O2",92.6531785010474,-0.00135994190978868,27.767393442623,"70",19,0,"A",20230701,0.647274127938574,13.5824048882068,-0.000880255213705587,"20230701_F_A_blank2_O2",9.57459248167195e-05,-0.000976001138522306,0.258687922175775,-1.02530256611261
"6","20230701_F_A_25_O2",84.7417248659136,-0.00153760127810115,27.6524193548387,"70",25,2,"A",20230701,0.646665996496518,18.0241218915062,-0.0009943144627176,"20230701_F_A_blank_O2",8.78992461519998e-05,-0.0010822137088696,0.21615307394068,-1.15152877147977
"7","20230701_F_A_26_O2",87.4687658371504,-0.000808643076740888,27.7062741935484,"70",26,1,"A",20230701,0.647326417830411,12.5476253187034,-0.000523456026170041,"20230701_F_A_blank_O2",8.78992461519998e-05,-0.000611355272322041,0.175402032213915,-1.28952331357931
"8","20230701_F_A_41_O2",85.3256691770797,-0.00294998311381286,27.7757868852459,"69",41,0,"A",20230701,0.646331864087684,29.2743102137316,-0.00190666808497786,"20230701_F_A_blank2_O2",9.57459248167195e-05,-0.00200241400979458,0.246246295220276,-1.06060492126267
"9","20230701_F_A_49_O2",88.4580589863173,-0.00241481602139843,27.8479344262295,"69",49,2,"A",20230701,0.64673554205266,24.4192217374974,-0.00156174734855656,"20230701_F_A_blank2_O2",9.57459248167195e-05,-0.00165749327337328,0.244355690295449,-1.06608017238439
"10","20230701_F_A_5_O2",89.9691518212784,-0.00494070336479395,27.8323278688525,"68",5,0,"A",20230701,0.644499626277741,54.2630210187899,-0.00318428147215888,"20230701_F_A_blank2_O2",9.57459248167195e-05,-0.0032800273969756,0.217608574078898,-1.14693555350347
"11","20230701_F_A_52_O2",85.5015375241727,-0.000999585985021566,27.7011475409836,"69",52,1,"A",20230701,0.64766525632951,10.5266981176888,-0.000647397113212378,"20230701_F_A_blank2_O2",9.57459248167195e-05,-0.000743143038029098,0.254145688134555,-1.03804690210848
"12","20230701_F_A_57_O2",89.5692612886237,-0.0029822867857776,27.8125901639344,"65",57,0,"A",20230701,0.646995945714005,26.9561878360973,-0.00192952745935456,"20230701_F_A_blank2_O2",9.57459248167195e-05,-0.00202527338417128,0.270475344189922,-0.992968383855993
"13","20230701_F_A_59_O2",89.526882497477,-0.00320319838267834,27.8364426229508,"65",59,2,"A",20230701,0.647070720259331,25.48101905033,-0.0020726958846132,"20230701_F_A_blank2_O2",9.57459248167195e-05,-0.00216844180942992,0.306361001439093,-0.900513348348272
"14","20230701_F_A_69_O2",90.1112536152364,-0.00168233286274121,27.6776290322581,"65",69,1,"A",20230701,0.647472306628634,12.1585698147647,-0.0010892639391562,"20230701_F_A_blank_O2",8.78992461519998e-05,-0.0011771631853082,0.348543252345633,-0.801750164350205
"15","20230701_F_A_85_O2",86.6099437793004,-0.00223659740908207,27.7887868852459,"67",85,1,"A",20230701,0.646500760438316,20.3449460434734,-0.00144596192576593,"20230701_F_A_blank2_O2",9.57459248167195e-05,-0.00154170785058265,0.272802309243675,-0.986707001866723
