"","date","coral_id","chamber_vol"
"1",20230701,9,646.805087608803
"2",20230701,90,647.014770075066
"3",20230701,25,646.665996496518
"4",20230701,26,647.326417830411
"5",20230701,104,645.709091475914
"6",20230701,87,647.526688116144
"7",20230701,106,646.439581264867
"8",20230701,15,647.119349858739
"9",20230701,69,647.472306628634
"10",20230701,49,646.73554205266
"11",20230701,52,647.66525632951
"12",20230701,103,646.675408677049
"13",20230701,41,646.331864087684
"14",20230701,85,646.500760438316
"15",20230701,19,647.274127938574
"16",20230701,57,646.995945714005
"17",20230701,5,644.499626277741
"18",20230701,59,647.070720259331
"19",20230701,24,647.237297087639
"20",20230701,46,647.035339016788
"21",20230701,97,646.026070518015
"22",20230701,51,647.321837675437
"23",20230701,98,646.008327431687
"24",20230701,23,647.410553107077
"25",20230701,76,646.578715471583
"26",20230701,7,645.571534394731
"27",20230701,18,646.686739555992
"28",20230701,81,646.621507620963
"29",20230701,92,647.249821619165
"30",20230701,43,646.01511155293
"31",20230701,74,647.031164172947
"32",20230701,32,646.129919758582
"33",20230701,58,647.608336334086
"34",20230701,56,646.906440713171
"35",20230701,3,646.445120468643
"36",20230701,63,647.332796640522
"37",20230702,34,647.018427186232
"38",20230702,11,646.718800632789
"39",20230702,62,647.384170982641
"40",20230702,108,647.010031345855
"41",20230702,101,647.284470378168
"42",20230702,54,647.492792167514
"43",20230702,75,646.4448863405
"44",20230702,78,646.769700415073
"45",20230702,77,647.308083679227
"46",20230702,29,646.841589798298
"47",20230702,68,647.408833763747
"48",20230702,16,645.835663173167
"49",20230702,91,646.480043922077
"50",20230702,37,646.632743268928
"51",20230702,67,646.75605717446
"52",20230702,20,647.290242518427
"53",20230702,12,646.204555409717
"54",20230702,42,646.501033523019
"55",20230702,14,646.518874683819
"56",20230702,89,646.947587283053
"57",20230702,33,647.351112361158
"58",20230702,99,646.861529919192
"59",20230702,60,646.86415361931
"60",20230702,70,647.134919471458
"61",20230702,35,647.49803956775
"62",20230702,2,645.352902351508
"63",20230702,50,646.454856400947
"64",20230702,84,646.698860511894
"65",20230702,28,646.925548202065
"66",20230702,45,646.169922568163
"67",20230702,73,646.614377368104
"68",20230702,96,646.368799037086
"69",20230702,94,646.117973305833
"70",20230702,55,646.834243437968
"71",20230702,47,647.035218866985
"72",20230703,102,647.199752320613
"73",20230703,1,645.828950446149
"74",20230703,88,647.088224131438
"75",20230703,6,646.461990731186
"76",20230703,53,647.314945755442
"77",20230703,107,647.560517214236
"78",20230703,65,646.81228349437
"79",20230703,83,646.902867422668
"80",20230703,27,646.574042526883
"81",20230703,22,647.099743474921
"82",20230703,44,646.590274329064
"83",20230703,105,645.736795698286
"84",20230703,21,647.251065759764
"85",20230703,64,647.541143772924
"86",20230703,38,647.148438881462
"87",20230703,4,645.712186191754
"88",20230703,71,646.510162531205
"89",20230703,82,647.282482151081
"90",20230703,36,646.624832359512
"91",20230703,95,646.361458278972
"92",20230703,13,647.081417246652
"93",20230703,86,646.619596294293
"94",20230703,40,645.258742943746
"95",20230703,31,646.770918579136
"96",20230703,10,646.516969415991
"97",20230703,39,646.996069383575
"98",20230703,61,647.509727381607
"99",20230703,8,647.350550998935
"100",20230703,72,646.993974957487
"101",20230703,66,646.349938935489
"102",20230703,79,646.943185124858
"103",20230703,48,646.911768733541
"104",20230703,93,646.690806781278
"105",20230703,30,646.539484496435
"106",20230703,80,646.435286798566
"107",20230703,100,646.554145479049
