"","coral_id","Intercept","umol.L.sec","Temp.C"
"1","20230605_g1_102_O2",79.253228337146,-0.00232558653538001,29.1648615384615
"2","20230605_g1_103_O2",80.4405040232582,-0.00236797730052814,28.4654918032787
"3","20230605_g1_104_O2",67.4902412945219,-0.00368139221341816,28.5221621621622
"4","20230605_g1_105_O2",74.8665040522992,-0.0039956923416694,28.4351846153846
"5","20230605_g1_18_O2",79.7329956849092,-0.00248048838885934,28.4772461538462
"6","20230605_g1_2_O2",78.155262477483,-0.0059902350131959,29.1916
"7","20230605_g1_21_O2",83.4008278107287,-0.00179852960336162,28.4135538461538
"8","20230605_g1_23_O2",81.8584779332888,-0.0019296760111468,28.4685081967213
"9","20230605_g1_24_O2",77.888876252425,-0.00178532466050442,28.5160307692308
"10","20230605_g1_27_O2",72.0866528489003,-0.00254708360105663,29.2239076923077
"11","20230605_g1_3_O2",80.7819459655319,-0.00394838804616335,28.5215901639344
"12","20230605_g1_33_O2",76.6465875559151,-0.00180845415328173,28.4024054054054
"13","20230605_g1_38_O2",82.7925164336538,-0.00187683699390524,28.4842769230769
"14","20230605_g1_4_O2",71.8812110259332,-0.00550853965951864,28.3248852459016
"15","20230605_g1_40_O2",78.7867931515999,-0.00499119664865526,28.4582295081967
"16","20230605_g1_41_O2",80.1761319860086,-0.00338457183573004,28.5195384615385
"17","20230605_g1_48_O2",75.2707750908195,-0.00229481754102195,29.0217230769231
"18","20230605_g1_51_O2",75.9050910347776,-0.00166054790703976,28.4842702702703
"19","20230605_g1_53_O2",76.1093135765137,-0.00175557013204075,28.4469863013699
"20","20230605_g1_56_O2",62.3569464072753,-0.00378099062045079,28.4580821917808
"21","20230605_g1_58_O2",73.3319069556656,-0.00156925814414749,28.5123108108108
"22","20230605_g1_6_O2",63.9118585586511,-0.00303451429742647,28.5115135135135
"23","20230605_g1_60_O2",80.7687444512073,-0.00380781721307542,29.0918153846154
"24","20230605_g1_62_O2",79.6524329654663,-0.00223120173418234,29.0271538461538
"25","20230605_g1_64_O2",80.7683045159469,-0.00207648511258408,28.5069692307692
"26","20230605_g1_66_O2",67.1136251768225,-0.00604909415702089,29.2542153846154
"27","20230605_g1_7_O2",80.3098780273899,-0.00601540559555131,28.5152615384615
"28","20230605_g1_72_O2",80.6299466433155,-0.00301768636029558,28.5414098360656
"29","20230605_g1_75_O2",81.1394139021263,-0.00402290769500019,28.3820163934426
"30","20230605_g1_76_O2",78.2741201681372,-0.00282118069199838,28.3383230769231
"31","20230605_g1_79_O2",67.4873509369376,-0.00254591168795597,28.3575675675676
"32","20230605_g1_81_O2",76.404537564967,-0.00249780903216743,28.1591639344262
"33","20230605_g1_83_O2",77.3854321905399,-0.00234687110638638,29.2699384615385
"34","20230605_g1_91_O2",68.5319060025922,-0.00228582466513501,28.5645479452055
"35","20230605_g1_93_O2",77.4905845157096,-0.00270647090892764,28.3500163934426
"36","20230605_g1_96_O2",77.5696191413353,-0.00286082100620333,29.1662923076923
"37","20230605_g1_blank_O2",88.653532533497,3.29018247782457e-05,28.4633230769231
"38","20230605_g1_blank2_O2",87.7138684978611,-1.12206412076354e-05,28.3782950819672
"39","20230605_g1_blank3_O2",86.4143307250072,-4.94875853310341e-05,28.4340945945946
"40","20230605_g1_blank4_O2",85.420020608642,-0.000143235678279165,29.0596829268293
"41","20230606_g2_1_O2",70.0686034205383,-0.00417859937900534,29.8481666666667
"42","20230606_g2_10_O2",77.0678361412502,-0.00318964770636327,28.1347846153846
"43","20230606_g2_100_O2",69.0062042085715,-0.00244157200395534,28.3875806451613
"44","20230606_g2_11_O2",74.3891758023618,-0.00357336810838225,29.325987012987
"45","20230606_g2_13_O2",68.9391833774266,-0.00273359734229847,29.441025974026
"46","20230606_g2_14_O2",76.1750972095592,-0.00244879552357395,28.2683870967742
"47","20230606_g2_16_O2",74.626732739474,-0.00431805907500969,28.1706923076923
"48","20230606_g2_17_O2",80.1463541714343,-0.00204454741343803,29.6641166666667
"49","20230606_g2_19_O2",72.2400943431173,-0.00164702872390521,29.4387402597403
"50","20230606_g2_22_O2",77.939104489434,-0.00205406575705398,29.7454833333333
"51","20230606_g2_26_O2",70.9861759086076,-0.00146218652418621,29.2560779220779
"52","20230606_g2_28_O2",73.1059817026825,-0.00182309911509336,28.4202096774194
"53","20230606_g2_30_O2",71.7924471447543,-0.00220457218744069,28.2804153846154
"54","20230606_g2_32_O2",79.1500766756655,-0.00194440893272048,29.6830166666667
"55","20230606_g2_35_O2",72.724467776648,-0.00104412756722478,28.0692461538462
"56","20230606_g2_37_O2",73.9971266809872,-0.00223749041656019,28.3136615384615
"57","20230606_g2_42_O2",75.5430941246389,-0.00325540594042252,29.2995454545455
"58","20230606_g2_43_O2",76.4302909625852,-0.00396202165781862,28.402935483871
"59","20230606_g2_45_O2",71.8085797243517,-0.00308447069666121,28.3918064516129
"60","20230606_g2_47_O2",74.8839643687819,-0.00288464515058146,29.3265324675325
"61","20230606_g2_5_O2",65.0969138493657,-0.00826306413838631,28.4190806451613
"62","20230606_g2_52_O2",77.6374505121261,-0.00139126137919316,29.80875
"63","20230606_g2_55_O2",73.3783390641275,-0.00323026246923177,28.3473709677419
"64","20230606_g2_59_O2",74.4039276499568,-0.00320995821457591,28.1968615384615
"65","20230606_g2_65_O2",75.3551159862398,-0.00339321909150548,28.2612307692308
"66","20230606_g2_69_O2",74.910826015317,-0.00165093264308509,29.78825
"67","20230606_g2_71_O2",71.151567489524,-0.00469053632068881,29.2961818181818
"68","20230606_g2_74_O2",80.09773927867,-0.00310801965756715,29.5978
"69","20230606_g2_77_O2",74.4982825717618,-0.00258874171000115,29.3395064935065
"70","20230606_g2_82_O2",71.240060824784,-0.00180406846246871,28.2243225806452
"71","20230606_g2_85_O2",74.1178211739708,-0.00256498273572376,28.3540483870968
"72","20230606_g2_87_O2",70.788081268566,-0.00173691927073259,28.2682923076923
"73","20230606_g2_88_O2",76.5163396016176,-0.00188379439864575,29.88685
"74","20230606_g2_89_O2",74.4179324046115,-0.00260891177359361,29.4304675324675
"75","20230606_g2_95_O2",71.4683732822518,-0.00295152605624419,28.2743384615385
"76","20230606_g2_98_O2",74.8095484876916,-0.00333779856968972,29.6681
"77","20230606_g2_blank_O2",83.8590848310176,-1.44631246586305e-05,29.7787166666667
"78","20230606_g2_blank2_O2",79.4126377362403,-0.000456934624149919,29.355025974026
"79","20230606_g2_blank3_O2",79.3978740003161,-0.000167585719964617,28.3915967741935
"80","20230606_g2_blank4_O2",80.4617076301339,-0.000162820079612264,28.2627692307692
"81","20230607_g3_101_O2",80.601868695256,-0.00165039451889133,28.5873606557377
"82","20230607_g3_106_O2",79.2730949995562,-0.00251574275035129,28.5348333333333
"83","20230607_g3_107_O2",77.4770436370214,-0.00126465960767486,28.4799166666667
"84","20230607_g3_108_O2",80.4071713806092,-0.00222638074682823,28.2906333333333
"85","20230607_g3_12_O2",80.7977104506812,-0.0038352667209169,28.4708166666667
"86","20230607_g3_15_O2",78.4040446150785,-0.00160249439259099,28.5035901639344
"87","20230607_g3_20_O2",81.0611900884203,-0.00166222155037941,28.2304666666667
"88","20230607_g3_24_O2",80.7582956343373,-0.00151960911228855,28.2989833333333
"89","20230607_g3_29_O2",82.5668156263765,-0.00213299391112838,28.5077704918033
"90","20230607_g3_31_O2",81.3915988290485,-0.00216078067998907,28.4211333333333
"91","20230607_g3_34_O2",81.9167805102275,-0.00197993564697767,28.3195333333333
"92","20230607_g3_36_O2",79.5044337388287,-0.00228802647240263,28.2749166666667
"93","20230607_g3_39_O2",77.3783823196791,-0.00221648444241407,28.271
"94","20230607_g3_44_O2",82.5728349884703,-0.00333734025746012,28.3711166666667
"95","20230607_g3_46_O2",82.1193648898239,-0.00193691542145928,28.5696557377049
"96","20230607_g3_49_O2",78.9455058868286,-0.00257770480898027,28.4810666666667
"97","20230607_g3_50_O2",84.3743992844821,-0.00319978924473113,28.3088333333333
"98","20230607_g3_54_O2",79.3187333296413,-0.00112955458338324,28.2773166666667
"99","20230607_g3_57_O2",81.0388776926666,-0.00292251988787478,28.3501666666667
"100","20230607_g3_61_O2",75.1583468282351,-0.00177616176543028,28.4207
"101","20230607_g3_63_O2",78.1382749279318,-0.00232779883845287,28.5821967213115
"102","20230607_g3_67_O2",76.3572345075973,-0.00172353385491795,28.3548833333333
"103","20230607_g3_68_O2",75.6760333185568,-0.00196268148351416,28.1843666666667
"104","20230607_g3_70_O2",81.2973964759121,-0.00221861616628685,28.3567
"105","20230607_g3_73_O2",80.3320560755269,-0.00300752216889976,28.3710333333333
"106","20230607_g3_78_O2",79.8050359457578,-0.00232171788670053,28.4059508196721
"107","20230607_g3_8_O2",77.0915498565297,-0.00180406533691264,28.42525
"108","20230607_g3_80_O2",79.927980776697,-0.00268952218353575,28.3954
"109","20230607_g3_84_O2",76.4391637609324,-0.00212151821681917,28.2987333333333
"110","20230607_g3_86_O2",76.5114826457748,-0.00227783533935016,28.37275
"111","20230607_g3_9_O2",82.869900553353,-0.00281626774214431,28.5593606557377
"112","20230607_g3_90_O2",84.6978686232403,-0.00197776467781101,28.5015737704918
"113","20230607_g3_92_O2",80.7751874544609,-0.00161854208112649,28.4662166666667
"114","20230607_g3_94_O2",78.5337512328712,-0.00210547155621585,28.3550666666667
"115","20230607_g3_97_O2",83.6113735761872,-0.00354733508230097,28.5344262295082
"116","20230607_g3_99_O2",78.6264024210858,-0.00246272945932065,28.3948833333333
"117","20230607_g3_blank_O2",88.3660564359043,-0.000142007230872746,28.5368852459016
"118","20230607_g3_blank2_O2",87.3137220859136,-7.55414976154905e-05,28.4082833333333
"119","20230607_g3_blank3_O2",86.4168740369119,-0.000119907142809413,28.4259333333333
"120","20230607_g3_blank4_O2",85.1555586908012,-8.23988003866438e-05,28.2649
